Position_on_hillslope,variable,mean_Excluded,mean_Reduced,sd_Excluded,sd_Reduced,n_Excluded,n_Reduced
Lower hillslope,Aboveground_biomass_g,10.08,6.55,23.1453148606797,14.8403889051852,9,8
Lower hillslope,Roots_biomass_g,0.345555555555556,1.04,0.417495841629324,1.79018754005591,9,8
Lower hillslope,Total_cover_ratio_perc,45.9811111111111,55.65,31.8523187713408,35.5261674182365,9,8
Lower hillslope,Litter_weight_g,297.341868873039,447.765,417.418411756106,440.225835257963,9,8
Lower hillslope,Litter_thickness_cm,1.66666666666667,1.15,2.54950975679639,0.99713876380658,9,8
Lower hillslope,Height_of_soil_pedestals_cm,4.02962925925926,1.65,2.69095453599946,1.08627804912002,9,8
Lower hillslope,Soil_bulk_density_g.cm3,0.885633404104742,0.78125,0.321625593170932,0.329564106055256,9,8
Lower hillslope,Total_species_richness,5.66666666666667,7.5,4.15331193145904,4.56696210375594,9,8
Lower hillslope,Herbaceous_species_richness,4.44444444444444,4.75,3.74536750904071,3.53553390593274,9,8
Lower hillslope,Woody_species_richness,0.888888888888889,1.75,1.26929551764398,2.25198325291921,9,8
Upper hillslope,Aboveground_biomass_g,46.6145454545455,28.79,71.6174375922005,35.4060713563209,11,10
Upper hillslope,Roots_biomass_g,1.73818181818182,1.404,1.28586016488433,1.59673416697959,11,10
Upper hillslope,Total_cover_ratio_perc,54.6727272727273,49.08,28.3324228017687,27.1918615275478,11,10
Upper hillslope,Litter_weight_g,523.465652380189,295.752,449.878125177279,252.245738948704,11,10
Upper hillslope,Litter_thickness_cm,1.09090909090909,1.25,1.11396099164607,1.71998062004586,11,10
Upper hillslope,Height_of_soil_pedestals_cm,1.56666666666667,1.63,1.40783521763025,1.77641962009731,11,10
Upper hillslope,Soil_bulk_density_g.cm3,0.534218876664737,0.617,0.144522603892981,0.231902757398201,11,10
Upper hillslope,Total_species_richness,10.8181818181818,8.7,4.19089923090932,5.0122073203552,11,10
Upper hillslope,Herbaceous_species_richness,4.81818181818182,4.9,3.02714987465708,3.24722103412201,11,10
Upper hillslope,Woody_species_richness,6,2,2.86356421265527,1.63299316185545,11,10
