filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type
fig_3a.png,density,acanig 6,5.11590769747272e-13,2.87871525920367,6,,1.17523058330213,sd,boxplot
fig_3a.png,density,casabb A,-5.72519083969414,6.15399285769224,6,,2.51235706367968,sd,boxplot
fig_3a.png,density,colmop A,145.13358778626,43.7253957213414,6,,17.8508180530935,sd,boxplot
fig_3a.png,density,comapi A,-4.58015267175531,4.8639524885539,6,,1.98570028834958,sd,boxplot
fig_3a.png,density,terpru,6.01145038167988,15.4351588198727,6,,6.30137720125125,sd,boxplot
fig_3a.png,density,acanig B,4.86641221374089,10.3729251616765,6,,4.23472896436404,sd,boxplot
fig_3a.png,density,casabb B,4.29389312977142,11.9616000517421,6,,4.88330277233618,sd,boxplot
fig_3a.png,density,colmop B,162.881679389313,49.2845450701067,6,,20.1203312711603,sd,boxplot
fig_3a.png,density,comapi B,10.3053435114508,18.263697403434,6,,7.45612324250121,sd,boxplot
fig_3a.png,density,terpru B,-4.58015267175529,0,6,,0,sd,boxplot
fig_3b.png,density,colmop A,114.634146341464,71.8347436993132,6,,29.3264113111544,sd,boxplot
fig_3b.png,density,comapi A,-1.21951219512198,0,6,,0,sd,boxplot
fig_3b.png,density,terpru A,7.92682926829269,7.2946654719137,6,,2.97803470841454,sd,boxplot
fig_3b.png,density,colmop B,32.0121951219512,35.5204452919456,6,,14.501161066952,sd,boxplot
fig_3b.png,density,comapi B,6.55487804878047,9.7525101803212,6,,3.98144560884755,sd,boxplot
fig_3b.png,density,terpru B,3.9634146341463,6.44866380281377,6,,2.63265597327492,sd,boxplot
fig_3c.png,density,colmop A,335.485537190083,273.092472366454,6,,111.489534982155,sd,boxplot
fig_3c.png,density,diccin A,140.237603305785,185.781822710079,6,,75.8451115206504,sd,boxplot
fig_3c.png,density,grevil A,17.8202479338842,25.1205111786294,6,,10.2554057442538,sd,boxplot
fig_3c.png,density,hipbuc,82.1280991735537,98.3287993073674,6,,40.142564220597,sd,boxplot
fig_3c.png,density,terpru A,75.1549586776859,63.8067137769799,6,,26.0489818195691,sd,boxplot
fig_3c.png,density,colmop B,162.706611570248,166.842865235713,6,,68.1133145085724,sd,boxplot
fig_3c.png,density,diccin B,164.256198347107,139.433299879083,6,,56.9234063093706,sd,boxplot
fig_3c.png,density,grevil B,151.859504132231,144.269895825812,6,,58.8979383362875,sd,boxplot
fig_3c.png,density,terpru B,254.132231404959,372.902038202205,6,,152.23661960654,sd,boxplot
