,,,GRAZED,,,IN EXCLOSURE,,
filename,variable,group_id,mean,sd,,mean,sd,
fig_7_mamm.png,density,rila exclos,,,6,167.7148847,657.3054236,
fig_7_mamm.png,density,rowo exclos,,,6,4997.903564,4025.99572,
,,,,,,,,
,,,,,,,,
fig_7_mamm.png,density,salu graz,,,6,9425.57652,10352.56042,
fig_7_mamm.png,density,sabe graz,,,6,771.4884696,2218.405805,
fig_7_mamm.png,density,dafr graz,,,6,1442.348008,2054.079449,
fig_8a.png,aspen density,mamm exclos,,,6,6774.193548,2133.42655,
fig_8a.png,aspen density,LE exclos,,,6,8580.645161,3555.710917,
fig_8a.png,aspen density,real LW exclos,,,6,5258.064516,8533.706201,
fig_8a.png,aspen density,tower jct exclos,,,6,8741.935484,8296.658806,
fig_8a.png,aspen density,crownbutte exclos,,,6,9967.741935,5531.105871,
fig_8a.png,aspen density,porcupine exclos,,,6,13645.16129,8375.674604,
fig_8a.png,aspen density,mammoth graz,,,6,2032.258065,2370.473945,
fig_8a.png,aspen density,porcupine graz,,,6,11290.32258,6637.327045,
fig_8b.png,willow density,a,,,6,-32368.42105,31187.2639,
