site,month,response,mean_control,mean_experimental,sd_control,sd_experimental,n_control,n_experimental,time_series_clean,days_since
Dune Marsh,51 months,Gree Algae Abundance,0.0105555555555556,0.0177777777777778,0.0365655170486763,0.0359947620581508,12,12,3,1530
Raccoon Keys,13 months,Gree Algae Abundance,0.00472222222222222,0.00722222222222222,0.00413370803124049,0.00648749120134603,12,12,1,390
Raccoon Keys,18 months,Gree Algae Abundance,0.00972222222222222,0.02,0.00869904596340315,0.0259369865776129,12,12,2,540
Raccoon Keys,51 months,Gree Algae Abundance,0,0,0,0,9,9,3,1530
Dune Marsh,13 months,Juvenile fiddler crab abundance,6.16666666666667,1.91666666666667,6.86007332764061,3.23217723786455,12,12,1,390
Dune Marsh,18 months,Juvenile fiddler crab abundance,15.8333333333333,7.83333333333333,11.4004252977552,11.0522176576249,12,12,2,540
Dune Marsh,51 months,Juvenile fiddler crab abundance,19.3333333333333,12.3333333333333,24.1409999541833,18.7487373312218,12,12,3,1530
Raccoon Keys,13 months,Juvenile fiddler crab abundance,6.75,4.58333333333333,5.57795987468863,5.61585957693734,12,12,1,390
Raccoon Keys,18 months,Juvenile fiddler crab abundance,11.9166666666667,11.1666666666667,13.3584044592522,9.71253485622231,12,12,2,540
Raccoon Keys,51 months,Juvenile fiddler crab abundance,17.2222222222222,24.6666666666667,13.1222880796165,11.4017542509914,9,9,3,1530
Dune Marsh,18 months,Mussle abundance,9.33333333333333,5.66666666666667,8.21676040268618,7.51160717984124,12,12,1,540
Dune Marsh,51 months,Mussle abundance,9.58333333333333,8.33333333333333,8.61772310504065,11.6722930156171,12,12,2,1530
Raccoon Keys,18 months,Mussle abundance,5.66666666666667,12.75,10.3514016032379,18.5674446276271,12,12,1,540
Raccoon Keys,51 months,Mussle abundance,13.2222222222222,25.3333333333333,17.9706550922454,28.6181760425084,9,9,2,1530
Dune Marsh,13 months,Porewater salinity,36.8333333333333,35.6666666666667,3.12855857990206,1.96946385566932,12,12,1,390
Dune Marsh,18 months,Porewater salinity,36.25,35.8333333333333,3.22278817739603,3.71320330548689,12,12,2,540
Raccoon Keys,13 months,Porewater salinity,36.9166666666667,36.5,3.02890119090115,2.35487888127066,12,12,1,390
Raccoon Keys,18 months,Porewater salinity,35.3333333333333,35.3333333333333,3.65148371670111,2.60535578911572,12,12,2,540
Raccoon Keys,51 months,Porewater salinity,31.8333333333333,32.8333333333333,1.32916013582513,2.40138848724372,6,6,3,1530
Dune Marsh,13 months,Redox,-190.833333333333,-219.333333333333,123.198902986064,83.2327878284572,12,12,1,390
Dune Marsh,18 months,Redox,-268.791666666667,-257.720833333333,37.8879498313678,82.7608917806794,12,12,2,540
Raccoon Keys,13 months,Redox,-180.033333333333,-154.25,131.908834450391,113.488585729619,12,12,1,390
Raccoon Keys,18 months,Redox,-231.2,-190.154166666667,48.841906373337,117.195618244054,12,12,2,540
Dune Marsh,13 months,Salicornia spp cover,0.04275,0.0124166666666667,0.0416590599117079,0.0296623677511769,12,12,1,390
